grid_ix,grid_iy,orig,dl,cmp
13,9,6.4,217.3892,210.98919999999998
14,9,580.0,26.713,-553.287
15,9,0.0,0.0,0.0
16,9,0.0,0.0,0.0
17,9,0.0,0.0,0.0
0,10,0.0,0.0,0.0
1,10,0.2,45.3518,45.151799999999994
2,10,3.7,36.2644,32.5644
3,10,0.0,0.4377,0.4377
4,10,0.0,0.0582,0.0582
5,10,0.0,0.6251,0.6251
6,10,0.0,0.995,0.995
7,10,0.3,9.4651,9.165099999999999
8,10,0.05,6.6069,6.556900000000001
9,10,0.7,4.3726,3.6726
10,10,0.0,9.1867,9.1867
11,10,287.99,152.7837,-135.2063
12,10,0.0,1.7544,1.7544
13,10,0.0,10.274,10.274
14,10,5000.0,11.6022,-4988.3978
15,10,0.0,2.5459,2.5459
16,10,4.0,94.7405,90.7405
17,10,0.0,0.1585,0.1585
0,11,0.0,0.0,0.0
1,11,0.0,0.0,0.0
2,11,0.0,0.0,0.0
3,11,0.0,0.0,0.0
4,11,0.0,0.0,0.0
5,11,0.0,0.6251,0.6251
6,11,0.0,0.0,0.0
7,11,0.0,0.5081,0.5081
8,11,0.0,3.2675,3.2675
9,11,0.0,0.0064,0.0064
10,11,0.12,0.0582,-0.061799999999999994
11,11,0.0,1.0677,1.0677
12,11,0.0,1.9891,1.9891
13,11,0.0,0.0,0.0
14,11,5.0,136.0094,131.0094
15,11,80.0,12.3568,-67.64320000000001
16,11,30.0,206.3904,176.3904
17,11,0.0,0.0687,0.0687
0,12,0.0,0.0,0.0
1,12,0.0,0.0,0.0
2,12,0.0,0.0,0.0
3,12,0.0,0.0,0.0
4,12,0.0,0.0,0.0
5,12,0.0,0.0,0.0
6,12,0.0,0.0,0.0
7,12,0.0,0.0,0.0
8,12,0.0,0.0,0.0
9,12,0.0,0.0,0.0
10,12,0.0,0.0,0.0
11,12,0.0,0.3639,0.3639
12,12,0.0,0.0,0.0
13,12,0.0,0.0555,0.0555
14,12,0.0,0.0531,0.0531
15,12,0.0,0.1108,0.1108
16,12,0.0,15.407,15.407
17,12,0.0,0.0,0.0
0,13,0.0,0.0,0.0
1,13,0.0,0.0,0.0
2,13,0.0,0.0,0.0
3,13,0.0,0.0,0.0
4,13,0.0,0.0,0.0
5,13,0.0,0.0,0.0
6,13,0.0,0.0,0.0
7,13,0.0,0.0,0.0
8,13,0.0,0.0,0.0
9,13,0.0,0.0,0.0
10,13,0.0,0.0,0.0
11,13,0.0,0.0,0.0
12,13,0.0,0.4154,0.4154
13,13,0.0,441.0662,441.0662
14,13,0.0,0.3422,0.3422
15,13,0.0,3.6459,3.6459
16,13,0.0,0.0,0.0
17,13,0.0,0.0,0.0
